assetId, equipmentTypeId, equipmentId, equipmentAvailabilityId, equipmentLocationId, startDateTime, endDateTime, totalCost, equipmentFixedCost, totalRouteCost, totalDistance, repositionDistance, totalStops, inTransitStops, totalWeight, totalCubic, totalQty, totalTime, dutyTime, operatingTime, repositionTime, serviceTime, waitTime, shortBreakTime, longBreakTime, totalGapTimeBetweenRoutes, maxOutOfRoutePercent, avgOutOfRoutePercent, maxOutOfRouteMile, avgOutOfRouteMile, startDateTimeLocal, endDateTimeLocal, numberOfRoutes, routeUtilization, segmentUtilization, debugAssetId, timeUtilization, decompositionId
"0_tour21","Truck",,"0","DC_1",02/27/2016 18:16,02/28/2016 00:00,1612.78,1200.00,412.78,314.82,,2,1,,,189.00,343.44,343.44,343.44,,,,,,0.00,,,,,02/27/2016 18:16,02/28/2016 00:00,1,0.19,0.19,"tour0_20",0.00,
"0_tour22","Truck",,"0","DC_1",03/06/2016 20:33,03/07/2016 00:00,1462.64,1200.00,262.64,189.70,,2,1,,,100.00,206.94,206.94,206.94,,,,,,0.00,,,,,03/06/2016 20:33,03/07/2016 00:00,1,0.10,0.10,"tour0_21",0.00,
"0_tour23","Truck",,"0","DC_1",03/15/2016 20:33,03/16/2016 00:00,1462.64,1200.00,262.64,189.70,,2,1,,,79.00,206.94,206.94,206.94,,,,,,0.00,,,,,03/15/2016 20:33,03/16/2016 00:00,1,0.08,0.08,"tour0_22",0.00,
"0_tour24","Truck",,"0","DC_1",03/16/2016 17:56,03/17/2016 00:00,1635.14,1200.00,435.14,333.45,,2,1,,,93.00,363.77,363.77,363.77,,,,,,0.00,,,,,03/16/2016 17:56,03/17/2016 00:00,1,0.09,0.09,"tour0_23",0.00,
"0_tour25","Truck",,"0","DC_1",03/21/2016 18:16,03/22/2016 00:00,1612.78,1200.00,412.78,314.82,,2,1,,,92.00,343.44,343.44,343.44,,,,,,0.00,,,,,03/21/2016 18:16,03/22/2016 00:00,1,0.09,0.09,"tour0_24",0.00,
"0_tour26","Truck",,"0","DC_1",03/22/2016 20:33,03/23/2016 00:00,1462.64,1200.00,262.64,189.70,,2,1,,,98.00,206.94,206.94,206.94,,,,,,0.00,,,,,03/22/2016 20:33,03/23/2016 00:00,1,0.10,0.10,"tour0_25",0.00,
"0_tour27","Truck",,"0","DC_1",03/30/2016 17:56,03/31/2016 00:00,1635.14,1200.00,435.14,333.45,,2,1,,,94.00,363.77,363.77,363.77,,,,,,0.00,,,,,03/30/2016 17:56,03/31/2016 00:00,1,0.09,0.09,"tour0_26",0.00,
"0_tour28","Truck",,"0","DC_1",03/30/2016 18:16,03/31/2016 00:00,1612.78,1200.00,412.78,314.82,,2,1,,,193.00,343.44,343.44,343.44,,,,,,0.00,,,,,03/30/2016 18:16,03/31/2016 00:00,1,0.19,0.19,"tour0_27",0.00,
"0_tour29","Truck",,"0","DC_1",04/02/2016 20:33,04/03/2016 00:00,1462.64,1200.00,262.64,189.70,,2,1,,,98.00,206.94,206.94,206.94,,,,,,0.00,,,,,04/02/2016 20:33,04/03/2016 00:00,1,0.10,0.10,"tour0_28",0.00,
"0_tour30","Truck",,"0","DC_1",04/08/2016 17:56,04/09/2016 00:00,1635.14,1200.00,435.14,333.45,,2,1,,,189.00,363.77,363.77,363.77,,,,,,0.00,,,,,04/08/2016 17:56,04/09/2016 00:00,1,0.19,0.19,"tour0_29",0.00,
"0_tour31","Truck",,"0","DC_1",04/08/2016 20:33,04/09/2016 00:00,1462.64,1200.00,262.64,189.70,,2,1,,,86.00,206.94,206.94,206.94,,,,,,0.00,,,,,04/08/2016 20:33,04/09/2016 00:00,1,0.09,0.09,"tour0_30",0.00,
"0_tour32","Truck",,"0","DC_1",04/11/2016 17:56,04/12/2016 00:00,1635.14,1200.00,435.14,333.45,,2,1,,,99.00,363.77,363.77,363.77,,,,,,0.00,,,,,04/11/2016 17:56,04/12/2016 00:00,1,0.10,0.10,"tour0_31",0.00,
"0_tour33","Truck",,"0","DC_1",04/14/2016 18:16,04/15/2016 00:00,1612.78,1200.00,412.78,314.82,,2,1,,,93.00,343.44,343.44,343.44,,,,,,0.00,,,,,04/14/2016 18:16,04/15/2016 00:00,1,0.09,0.09,"tour0_32",0.00,
"0_tour34","Truck",,"0","DC_1",04/17/2016 17:56,04/18/2016 00:00,1635.14,1200.00,435.14,333.45,,2,1,,,98.00,363.77,363.77,363.77,,,,,,0.00,,,,,04/17/2016 17:56,04/18/2016 00:00,1,0.10,0.10,"tour0_33",0.00,
"0_tour35","Truck",,"0","DC_1",04/23/2016 18:16,04/24/2016 00:00,1612.78,1200.00,412.78,314.82,,2,1,,,180.00,343.44,343.44,343.44,,,,,,0.00,,,,,04/23/2016 18:16,04/24/2016 00:00,1,0.18,0.18,"tour0_34",0.00,
