ScenarioId	StepNumber	Replication	Time	AssetType	AssetUnitId	Location	Lat	Lon
0	1	1	01/08/2016 00:00:00	"TRUCK"	25	"DC_4"	51.922900	4.470560
0	1	1	01/08/2016 03:27:41	"TRUCK"	20	"CZ_7"	47.498150	19.040550
0	1	1	01/08/2016 04:12:59	"TRUCK"	22	"CZ_1"	51.513340	-0.088930
0	1	1	01/08/2016 04:12:59	"TRUCK"	25	"CZ_1"	51.513340	-0.088930
0	1	1	01/08/2016 05:27:21	"TRUCK"	23	"CZ_6"	53.553850	9.991670
0	1	1	01/08/2016 05:27:21	"TRUCK"	24	"CZ_6"	53.553850	9.991670
0	1	1	01/08/2016 05:43:28	"TRUCK"	19	"CZ_2"	52.523430	13.411450
0	1	1	01/08/2016 05:43:28	"TRUCK"	21	"CZ_2"	52.523430	13.411450
0	1	1	01/08/2016 06:55:22	"TRUCK"	20	"DC_1"	49.192050	16.613180
0	1	1	01/08/2016 08:00:00	"TRUCK"	16	"DC_1"	49.192050	16.613180
0	1	1	01/08/2016 08:25:58	"TRUCK"	22	"DC_4"	51.922900	4.470560
0	1	1	01/08/2016 08:25:58	"TRUCK"	25	"DC_4"	51.922900	4.470560
0	1	1	01/08/2016 10:54:42	"TRUCK"	23	"DC_4"	51.922900	4.470560
0	1	1	01/08/2016 10:54:42	"TRUCK"	24	"DC_4"	51.922900	4.470560
0	1	1	01/08/2016 11:26:56	"TRUCK"	19	"DC_1"	49.192050	16.613180
0	1	1	01/08/2016 11:26:56	"TRUCK"	21	"DC_1"	49.192050	16.613180
0	1	1	01/09/2016 00:00:00	"TRUCK"	26	"DC_6"	43.295020	5.374470
0	1	1	01/09/2016 00:00:00	"TRUCK"	27	"DC_1"	49.192050	16.613180
0	1	1	01/09/2016 00:00:00	"TRUCK"	28	"DC_6"	43.295020	5.374470
0	1	1	01/09/2016 00:00:00	"TRUCK"	29	"DC_1"	49.192050	16.613180
0	1	1	01/09/2016 00:00:00	"TRUCK"	30	"DC_1"	49.192050	16.613180
0	1	1	01/09/2016 06:04:44	"TRUCK"	29	"CZ_8"	52.234970	21.008490
0	1	1	01/09/2016 06:04:44	"TRUCK"	30	"CZ_8"	52.234970	21.008490
0	1	1	01/09/2016 10:42:34	"TRUCK"	26	"CZ_3"	40.416690	-3.700320
0	1	1	01/09/2016 10:42:34	"TRUCK"	28	"CZ_3"	40.416690	-3.700320
0	1	1	01/09/2016 12:09:28	"TRUCK"	29	"DC_1"	49.192050	16.613180
0	1	1	01/09/2016 12:09:28	"TRUCK"	30	"DC_1"	49.192050	16.613180
0	1	1	01/09/2016 16:00:00	"TRUCK"	27	"CZ_1"	51.513340	-0.088930
0	1	1	01/09/2016 21:25:08	"TRUCK"	26	"DC_6"	43.295020	5.374470
0	1	1	01/09/2016 21:25:08	"TRUCK"	28	"DC_6"	43.295020	5.374470
0	1	1	01/10/2016 00:00:00	"TRUCK"	31	"DC_4"	51.922900	4.470560
0	1	1	01/10/2016 04:56:01	"TRUCK"	31	"CZ_5"	48.856910	2.350850
0	1	1	01/10/2016 08:00:00	"TRUCK"	27	"DC_1"	49.192050	16.613180
0	1	1	01/10/2016 09:52:02	"TRUCK"	31	"DC_4"	51.922900	4.470560
0	1	1	01/11/2016 00:00:00	"TRUCK"	32	"DC_1"	49.192050	16.613180
