SourceName	CustomerName	FlowUnits	Distance	FlowXDistance	ScenarioID	ScenarioStepNumber	
GREENFIELD_DC_17	Clustomer_115	2073.00000	97.87063	202885.82074	0	1	
GREENFIELD_DC_17	Clustomer_123	13695.00000	105.14568	1439970.06953	0	1	
GREENFIELD_DC_17	Clustomer_141	1719.00000	99.09528	170344.79295	0	1	
GREENFIELD_DC_17	Clustomer_162	3024.00000	248.36117	751044.18603	0	1	
GREENFIELD_DC_18	Clustomer_4	8715.00000	141.92259	1236855.39138	0	1	
GREENFIELD_DC_18	Clustomer_36	24999.00000	67.09819	1677387.64691	0	1	
GREENFIELD_DC_18	Clustomer_58	6993.00000	420.97123	2943851.83313	0	1	
GREENFIELD_DC_18	Clustomer_72	1875.00000	405.25550	759854.05412	0	1	
GREENFIELD_DC_18	Clustomer_89	1737.00000	466.41515	810163.12120	0	1	
GREENFIELD_DC_18	Clustomer_112	2400.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_19	Clustomer_12	9933.00000	69.76957	693021.08954	0	1	
GREENFIELD_DC_19	Clustomer_47	10869.00000	187.68486	2039946.69597	0	1	
GREENFIELD_DC_19	Clustomer_106	1695.00000	89.76790	152156.59382	0	1	
GREENFIELD_DC_19	Clustomer_143	5094.00000	66.13367	336884.92439	0	1	
GREENFIELD_DC_19	Clustomer_147	3510.00000	246.49753	865206.31937	0	1	
GREENFIELD_DC_19	Clustomer_173	6954.00000	0.00000	0.00000	0	1	
MFG_ANN ARBOR_MI	Clustomer_2	4495.00000	60.33426	271202.50641	0	1	
MFG_ANN ARBOR_MI	Clustomer_15	3670.00000	92.69011	340172.71375	0	1	
MFG_ANN ARBOR_MI	Clustomer_31	32751.00000	45.96641	1505446.01908	0	1	
MFG_ANN ARBOR_MI	Clustomer_66	1899.00000	0.62661	1189.93197	0	1	
MFG_ANN ARBOR_MI	Clustomer_113	4227.00000	128.38047	542664.22808	0	1	
MFG_ANN ARBOR_MI	Clustomer_116	3135.00000	127.25107	398932.11206	0	1	
MFG_ANN ARBOR_MI	Clustomer_164	4788.00000	53.22328	254833.06252	0	1	
