Customer_Name,Customer_Latitude,Customer_Longitude,Customer_Demand,Clustomer_ID,Distance_to_Clustomer,
CZ_EVERETT_WA,47.97893,-122.20866,1716.00000,Clustomer_17,28.69200
CZ_FRISCO_TX,33.15048,-96.83464,1950.00000,Clustomer_18,0.00000
CZ_PLANO_TX,33.05651,-96.74505,4332.00000,Clustomer_18,9.47300
CZ_MCKINNEY_TX,33.19895,-96.61500,2184.00000,Clustomer_18,14.97600
CZ_DENTON_TX,33.21259,-97.13776,1890.00000,Clustomer_18,20.57400
CZ_HOLYOKE_MA,42.20696,-72.60743,7385.00000,Clustomer_19,7.99300
CZ_SPRINGFIELD_MA,42.10580,-72.59658,2550.00000,Clustomer_19,0.00000
CZ_HARTFORD_CT,41.79040,-72.66141,2079.00000,Clustomer_19,25.13300
CZ_FAIRFIELD_CA,38.25047,-122.04713,1755.00000,Clustomer_20,23.75500
CZ_VALLEJO_CA,38.13070,-122.24345,1932.00000,Clustomer_20,19.10200
CZ_ANTIOCH_CA,38.01074,-121.81247,1707.00000,Clustomer_20,14.91800
CZ_CONCORD_CA,37.94896,-122.03960,2034.00000,Clustomer_20,0.00000
CZ_SIMI VALLEY_CA,34.28130,-118.73569,2070.00000,Clustomer_21,0.00000
CZ_THOUSAND OAKS_CA,34.18177,-118.87574,2112.00000,Clustomer_21,12.02700
CZ_SANTA CLARITA_CA,34.44688,-118.51090,2940.00000,Clustomer_21,19.59000
CZ_FALL RIVER_MA,41.69735,-71.14365,10799.00000,Clustomer_22,0.00000
CZ_NEW BEDFORD_MA,41.63767,-70.93087,7459.00000,Clustomer_22,13.37400
CZ_PROVIDENCE_RI,41.82531,-71.41412,2967.00000,Clustomer_22,18.81900
CZ_FREMONT_CA,37.55708,-121.99197,3567.00000,Clustomer_23,0.00000
CZ_HAYWARD_CA,37.65520,-122.09612,2403.00000,Clustomer_23,10.09900
CZ_SAN JOSE_CA,37.38919,-121.88779,1500.00000,Clustomer_23,14.74200
CZ_SANTA CLARA_CA,37.35899,-121.95994,1941.00000,Clustomer_23,15.73200
CZ_SUNNYVALE_CA,37.37906,-122.05188,2334.00000,Clustomer_23,14.51500
CZ_BOSTON_MA,42.35866,-71.05674,10293.00000,Clustomer_24,0.00000
CZ_CHELSEA_MA,42.39376,-71.03237,9922.00000,Clustomer_24,3.10700
CZ_CAMBRIDGE_MA,42.37573,-71.11669,1752.00000,Clustomer_24,3.73900
CZ_BROCKTON_MA,42.08318,-71.01724,13021.00000,Clustomer_24,21.82200
CZ_BRIDGEPORT_CT,41.17953,-73.18858,2403.00000,Clustomer_25,18.56500
CZ_NEW HAVEN_CT,41.30493,-72.92320,2163.00000,Clustomer_25,0.00000
CZ_WATERBURY_CT,41.55386,-73.04186,1839.00000,Clustomer_25,20.82300
CZ_LOWELL_MA,42.65771,-71.30624,1776.00000,Clustomer_26,27.83800
CZ_MANCHESTER_NH,42.99144,-71.46479,1827.00000,Clustomer_26,0.00000
CZ_MODESTO_CA,37.68103,-121.02785,3354.00000,Clustomer_27,26.98900
CZ_STOCKTON_CA,37.95490,-121.28847,4863.00000,Clustomer_27,0.00000
CZ_KANSAS CITY_KS,39.11053,-94.62686,2430.00000,Clustomer_28,10.20000
CZ_KANSAS CITY_MO,39.10332,-94.60050,7662.00000,Clustomer_28,10.22900
CZ_OVERLAND PARK_KS,38.98580,-94.67161,2889.00000,Clustomer_28,0.00000
CZ_INDEPENDENCE_MO,39.09276,-94.41475,1947.00000,Clustomer_28,17.83100
CZ_OLATHE_KS,38.88216,-94.81818,2097.00000,Clustomer_28,12.13700
CZ_GREENSBORO_NC,36.07379,-79.79593,4494.00000,Clustomer_29,16.55900
CZ_HIGH POINT_NC,35.94853,-80.00465,1740.00000,Clustomer_29,0.00000
CZ_WINSTON-SALEM_NC,36.10001,-80.24116,3828.00000,Clustomer_29,19.22000
CZ_FORT LAUDERDALE_FL,26.12073,-80.13852,2760.00000,Clustomer_30,12.37000
CZ_HOLLYWOOD_FL,26.01846,-80.12934,2346.00000,Clustomer_30,7.06400
CZ_MIAMI GARDENS_FL,25.92749,-80.22324,1785.00000,Clustomer_30,4.30200
CZ_MIRAMAR_FL,25.98205,-80.22052,2034.00000,Clustomer_30,0.00000
CZ_PEMBROKE PINES_FL,26.00811,-80.28011,2580.00000,Clustomer_30,4.69200
CZ_HIALEAH_FL,25.86653,-80.30479,3744.00000,Clustomer_30,10.88300
CZ_MIAMI_FL,25.77892,-80.19794,6657.00000,Clustomer_30,16.08000
CZ_STERLING HEIGHTS_MI,42.55005,-83.06374,2163.00000,Clustomer_31,7.38300
CZ_WARREN_MI,42.46243,-83.01858,2235.00000,Clustomer_31,0.00000
CZ_DETROIT_MI,42.34863,-83.06565,11895.00000,Clustomer_31,9.37400
CZ_INKSTER_MI,42.29632,-83.31018,11424.00000,Clustomer_31,21.42700
CZ_PONTIAC_MI,42.63687,-83.28842,5034.00000,Clustomer_31,20.83300
CZ_MOUNT VERNON_NY,40.91245,-73.83827,9033.00000,Clustomer_32,0.00000
CZ_YONKERS_NY,40.93343,-73.89192,3267.00000,Clustomer_32,3.59600
CZ_STAMFORD_CT,41.05396,-73.53928,2043.00000,Clustomer_32,20.98400
CZ_CARY_NC,35.77042,-78.78870,2253.00000,Clustomer_33,0.00000
CZ_RALEIGH_NC,35.77742,-78.63329,6732.00000,Clustomer_33,9.94800
CZ_DURHAM_NC,35.99922,-78.90362,3807.00000,Clustomer_33,19.45800
CZ_ELK GROVE_CA,38.40897,-121.36606,2550.00000,Clustomer_34,15.47100
CZ_SACRAMENTO_CA,38.57934,-121.49090,42774.00000,Clustomer_34,0.00000
CZ_ROSEVILLE_CA,38.73634,-121.26699,1980.00000,Clustomer_34,18.51000
CZ_CARROLLTON_TX,32.96408,-96.85123,1986.00000,Clustomer_35,14.28400
CZ_IRVING_TX,32.85985,-96.92741,3606.00000,Clustomer_35,10.16600
CZ_DALLAS_TX,32.78794,-96.79987,19965.00000,Clustomer_35,0.00000
CZ_GARLAND_TX,32.90889,-96.63721,3780.00000,Clustomer_35,14.37500
CZ_MESQUITE_TX,32.77991,-96.60610,2331.00000,Clustomer_35,12.84700
CZ_AURORA_CO,39.74468,-104.87527,5418.00000,Clustomer_36,6.93200
CZ_DENVER _CO,39.75058,-104.98947,10002.00000,Clustomer_36,0.00000
CZ_CENTENNIAL_CO,39.59513,-104.89832,1674.00000,Clustomer_36,13.43400
CZ_ARVADA_CO,39.80287,-105.08617,1773.00000,Clustomer_36,7.15800
CZ_WESTMINSTER_CO,39.82722,-105.03749,1770.00000,Clustomer_36,6.70000
CZ_THORNTON_CO,39.86948,-104.98541,1980.00000,Clustomer_36,9.36900
CZ_LAKEWOOD_CO,39.73166,-105.11565,2382.00000,Clustomer_36,7.78700
CZ_SAINT PETERSBURG_FL,27.77551,-82.63857,4080.00000,Clustomer_37,0.00000
CZ_TAMPA_FL,27.94720,-82.45951,5595.00000,Clustomer_37,18.39500
CZ_CLEARWATER_FL,27.97188,-82.79466,1794.00000,Clustomer_37,18.90500
CZ_NORMAN_OK,35.20395,-97.44293,1848.00000,Clustomer_38,21.74200
CZ_OKLAHOMA CITY_OK,35.47308,-97.51799,9666.00000,Clustomer_38,0.00000
CZ_CHICAGO_IL,41.88425,-87.63245,44928.00000,Clustomer_39,0.00000
CZ_HARVEY_IL,41.61083,-87.64458,1597.00000,Clustomer_39,21.55000
CZ_BERKELEY_CA,37.86914,-122.27041,1875.00000,Clustomer_40,11.19900
CZ_OAKLAND_CA,37.78313,-122.22400,6513.00000,Clustomer_40,11.79900
CZ_RICHMOND_CA,37.93755,-122.35624,1728.00000,Clustomer_40,12.69100
CZ_DALY CITY_CA,37.68968,-122.46372,1686.00000,Clustomer_40,7.98200
CZ_SAN FRANCISCO_CA,37.78291,-122.41352,1332.00000,Clustomer_40,0.00000
CZ_CAMDEN_NJ,39.94525,-75.11913,5282.00000,Clustomer_41,2.67400
CZ_PHILADELPHIA_PA,39.95228,-75.16245,25434.00000,Clustomer_41,0.00000
CZ_CHESTER_PA,39.84844,-75.35944,13123.00000,Clustomer_41,14.44400
CZ_NORRISTOWN_PA,40.11445,-75.33930,10705.00000,Clustomer_41,16.64200
CZ_MESA_AZ,33.43100,-111.83738,7317.00000,Clustomer_42,6.76900
