SourceName	CustomerName	FlowUnits	Distance	FlowXDistance	ScenarioID	ScenarioStepNumber	
GREENFIELD_DC_4	CZ_SAN FRANCISCO_CA	1332.00000	32.57364	43388.08576	0	1	
GREENFIELD_DC_4	CZ_SANTA ROSA_CA	2796.00000	86.18120	240962.63399	0	1	
GREENFIELD_DC_4	CZ_FRESNO_CA	8244.00000	152.80695	1259740.51815	0	1	
GREENFIELD_DC_4	CZ_RENO_NV	41130.00000	210.51291	8658396.12497	0	1	
GREENFIELD_DC_4	CZ_SALINAS_CA	2508.00000	74.50908	186868.76553	0	1	
GREENFIELD_DC_4	CZ_VISALIA_CA	2073.00000	198.97048	412465.80825	0	1	
GREENFIELD_DC_5	CZ_GOLDSBORO_NC	3455.00000	60.63729	209501.82972	0	1	
GREENFIELD_DC_5	CZ_ROCKY MOUNT_NC	5452.00000	67.91389	370266.55374	0	1	
GREENFIELD_DC_5	CZ_CHESAPEAKE_VA	3702.00000	186.86706	691781.86328	0	1	
GREENFIELD_DC_5	CZ_NORFOLK_VA	4047.00000	185.27817	749820.75996	0	1	
GREENFIELD_DC_5	CZ_VIRGINIA BEACH_VA	7299.00000	196.96697	1437661.89898	0	1	
GREENFIELD_DC_5	CZ_HAMPTON_VA	2292.00000	188.71203	432527.97442	0	1	
GREENFIELD_DC_5	CZ_NEWPORT NEWS_VA	3012.00000	184.13572	554616.78767	0	1	
GREENFIELD_DC_5	CZ_GREENSBORO_NC	4494.00000	70.35495	316175.12731	0	1	
GREENFIELD_DC_5	CZ_HIGH POINT_NC	1740.00000	80.96001	140870.42152	0	1	
GREENFIELD_DC_5	CZ_WINSTON-SALEM_NC	3828.00000	98.73717	377965.88590	0	1	
GREENFIELD_DC_5	CZ_CARY_NC	2253.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_5	CZ_RALEIGH_NC	6732.00000	10.20927	68728.80654	0	1	
GREENFIELD_DC_5	CZ_DURHAM_NC	3807.00000	19.96994	76025.57443	0	1	
GREENFIELD_DC_5	CZ_FAYETTEVILLE_NC	3345.00000	58.71311	196395.35813	0	1	
GREENFIELD_DC_5	CZ_WILMINGTON_NC	1776.00000	135.94468	241437.75463	0	1	
GREENFIELD_DC_6	CZ_AURORA_IL	3297.00000	42.45041	139958.98948	0	1	
GREENFIELD_DC_6	CZ_NAPERVILLE_IL	2364.00000	32.21802	76163.39165	0	1	
