ScenarioID	ScenarioStepNumber	Site	Product	Date	Quantity
0	1	DC_1	FG_01	01/01/2016	135.50000
0	1	DC_1	FG_01	01/03/2016	188
0	1	DC_1	FG_01	01/04/2016	136.50000
0	1	DC_1	FG_01	01/06/2016	193
0	1	DC_1	FG_01	01/07/2016	46.50000
0	1	DC_1	FG_01	01/08/2016	98
0	1	DC_1	FG_01	01/09/2016	47.50000
0	1	DC_1	FG_01	01/12/2016	130.50000
0	1	DC_1	FG_01	01/15/2016	48
0	1	DC_1	FG_01	01/18/2016	94
0	1	DC_1	FG_01	01/19/2016	98
0	1	DC_1	FG_01	01/21/2016	44
0	1	DC_1	FG_01	01/25/2016	93
0	1	DC_4	FG_02	01/01/2016	109
0	1	DC_4	FG_02	01/04/2016	102
0	1	DC_4	FG_02	01/06/2016	46
0	1	DC_4	FG_02	01/09/2016	71
0	1	DC_4	FG_02	01/10/2016	35
0	1	DC_4	FG_02	01/12/2016	69
0	1	DC_4	FG_02	01/16/2016	178
0	1	DC_4	FG_02	01/18/2016	88
0	1	DC_4	FG_02	01/19/2016	88
0	1	DC_4	FG_02	01/21/2016	151
0	1	DC_4	FG_02	01/24/2016	126
0	1	DC_4	FG_02	01/26/2016	6
0	1	DC_4	FG_02	01/27/2016	153
0	1	DC_4	FG_02	01/28/2016	39
0	1	DC_4	FG_02	01/31/2016	107
0	1	DC_1	FG_02	01/01/2016	125
0	1	DC_1	FG_02	01/03/2016	45
0	1	DC_1	FG_02	01/04/2016	55
0	1	DC_1	FG_02	01/06/2016	109
0	1	DC_1	FG_02	01/08/2016	93
0	1	DC_1	FG_02	01/09/2016	40
0	1	DC_1	FG_02	01/10/2016	36
0	1	DC_1	FG_02	01/11/2016	42
0	1	DC_1	FG_02	01/12/2016	169
0	1	DC_1	FG_02	01/13/2016	78
0	1	DC_1	FG_02	01/15/2016	73
0	1	DC_1	FG_02	01/16/2016	86
0	1	DC_1	FG_02	01/18/2016	95
0	1	DC_1	FG_02	01/19/2016	112
0	1	DC_1	FG_02	01/21/2016	54
0	1	DC_1	FG_02	01/22/2016	77
0	1	DC_1	FG_02	01/24/2016	98
0	1	DC_1	FG_02	01/25/2016	69
0	1	DC_1	FG_02	01/28/2016	5
0	1	DC_1	FG_02	01/31/2016	165
0	1	DC_6	FG_01	01/01/2016	99
0	1	DC_6	FG_01	01/04/2016	96
0	1	DC_6	FG_01	01/09/2016	92
0	1	DC_6	FG_01	01/13/2016	94
0	1	DC_6	FG_01	01/17/2016	94
0	1	DC_6	FG_01	01/19/2016	98
0	1	DC_6	FG_01	01/20/2016	96
0	1	DC_6	FG_01	01/21/2016	99
0	1	DC_6	FG_01	01/25/2016	93
0	1	DC_6	FG_01	01/26/2016	92
0	1	DC_6	FG_01	01/28/2016	89
0	1	DC_6	FG_01	01/31/2016	99
0	1	DC_6	FG_02	01/01/2016	182
0	1	DC_6	FG_02	01/03/2016	86
0	1	DC_6	FG_02	01/04/2016	90
0	1	DC_6	FG_02	01/07/2016	57
0	1	DC_6	FG_02	01/09/2016	96
0	1	DC_6	FG_02	01/13/2016	104
0	1	DC_6	FG_02	01/16/2016	98
0	1	DC_6	FG_02	01/17/2016	4
0	1	DC_6	FG_02	01/19/2016	61
0	1	DC_6	FG_02	01/21/2016	10
0	1	DC_6	FG_02	01/23/2016	77
0	1	DC_6	FG_02	01/25/2016	4
0	1	DC_6	FG_02	01/26/2016	35
0	1	DC_6	FG_02	01/28/2016	78
0	1	DC_6	FG_02	01/30/2016	6
0	1	DC_6	FG_02	01/31/2016	134
0	1	DC_4	FG_01	01/01/2016	147.50000
0	1	DC_4	FG_01	01/03/2016	95
0	1	DC_4	FG_01	01/04/2016	141.50000
0	1	DC_4	FG_01	01/07/2016	129.50000
0	1	DC_4	FG_01	01/09/2016	143.50000
0	1	DC_4	FG_01	01/12/2016	130.50000
0	1	DC_4	FG_01	01/15/2016	48
0	1	DC_4	FG_01	01/16/2016	96
0	1	DC_4	FG_01	01/21/2016	143
0	1	DC_4	FG_01	01/23/2016	96
0	1	PLANT2	000001	01/01/2016	1596
0	1	PLANT2	000001	01/03/2016	828
0	1	PLANT2	000001	01/04/2016	1242
0	1	PLANT2	000001	01/06/2016	696
0	1	PLANT2	000001	01/07/2016	466
0	1	PLANT2	000001	01/08/2016	382
0	1	PLANT2	000001	01/09/2016	980
0	1	PLANT2	000001	01/10/2016	142
0	1	PLANT2	000001	01/11/2016	84
0	1	PLANT2	000001	01/12/2016	998
0	1	PLANT2	000001	01/13/2016	552
0	1	PLANT2	000001	01/15/2016	338
0	1	PLANT2	000001	01/16/2016	916
0	1	PLANT2	000001	01/17/2016	196
0	1	PLANT2	000001	01/18/2016	554
0	1	PLANT2	000001	01/19/2016	914
0	1	PLANT2	000001	01/20/2016	192
0	1	PLANT2	000001	01/21/2016	1002
0	1	PLANT2	000001	01/22/2016	154
0	1	PLANT2	000001	01/23/2016	346
0	1	PLANT2	000001	01/24/2016	448
0	1	PLANT2	000001	01/25/2016	518
0	1	PLANT2	000001	01/26/2016	266
0	1	PLANT2	000001	01/27/2016	306
0	1	PLANT2	000001	01/28/2016	422
0	1	PLANT2	000001	01/30/2016	12
0	1	PLANT2	000001	01/31/2016	1010
0	1	PLANT2	000002	01/01/2016	2394
0	1	PLANT2	000002	01/03/2016	1242
0	1	PLANT2	000002	01/04/2016	1863
0	1	PLANT2	000002	01/06/2016	1044
0	1	PLANT2	000002	01/07/2016	699
0	1	PLANT2	000002	01/08/2016	573
0	1	PLANT2	000002	01/09/2016	1470
0	1	PLANT2	000002	01/10/2016	213
0	1	PLANT2	000002	01/11/2016	126
0	1	PLANT2	000002	01/12/2016	1497
0	1	PLANT2	000002	01/13/2016	828
0	1	PLANT2	000002	01/15/2016	507
0	1	PLANT2	000002	01/16/2016	1374
0	1	PLANT2	000002	01/17/2016	294
0	1	PLANT2	000002	01/18/2016	831
0	1	PLANT2	000002	01/19/2016	1371
0	1	PLANT2	000002	01/20/2016	288
0	1	PLANT2	000002	01/21/2016	1503
0	1	PLANT2	000002	01/22/2016	231
0	1	PLANT2	000002	01/23/2016	519
0	1	PLANT2	000002	01/24/2016	672
0	1	PLANT2	000002	01/25/2016	777
0	1	PLANT2	000002	01/26/2016	399
0	1	PLANT2	000002	01/27/2016	459
0	1	PLANT2	000002	01/28/2016	633
0	1	PLANT2	000002	01/30/2016	18
0	1	PLANT2	000002	01/31/2016	1515
0	1	PLANT2	000003	01/01/2016	3192
0	1	PLANT2	000003	01/03/2016	1656
0	1	PLANT2	000003	01/04/2016	2484
0	1	PLANT2	000003	01/06/2016	1392
0	1	PLANT2	000003	01/07/2016	932
0	1	PLANT2	000003	01/08/2016	764
0	1	PLANT2	000003	01/09/2016	1960
0	1	PLANT2	000003	01/10/2016	284
0	1	PLANT2	000003	01/11/2016	168
0	1	PLANT2	000003	01/12/2016	1996
0	1	PLANT2	000003	01/13/2016	1104
0	1	PLANT2	000003	01/15/2016	676
0	1	PLANT2	000003	01/16/2016	1832
0	1	PLANT2	000003	01/17/2016	392
0	1	PLANT2	000003	01/18/2016	1108
0	1	PLANT2	000003	01/19/2016	1828
0	1	PLANT2	000003	01/20/2016	384
0	1	PLANT2	000003	01/21/2016	2004
0	1	PLANT2	000003	01/22/2016	308
0	1	PLANT2	000003	01/23/2016	692
0	1	PLANT2	000003	01/24/2016	896
0	1	PLANT2	000003	01/25/2016	1036
0	1	PLANT2	000003	01/26/2016	532
0	1	PLANT2	000003	01/27/2016	612
0	1	PLANT2	000003	01/28/2016	844
0	1	PLANT2	000003	01/30/2016	24
0	1	PLANT2	000003	01/31/2016	2020
0	1	FILLING PLANT	FG_01	01/01/2016	382
0	1	FILLING PLANT	FG_01	01/03/2016	283
0	1	FILLING PLANT	FG_01	01/04/2016	374
0	1	FILLING PLANT	FG_01	01/06/2016	193
0	1	FILLING PLANT	FG_01	01/07/2016	176
0	1	FILLING PLANT	FG_01	01/08/2016	98
0	1	FILLING PLANT	FG_01	01/09/2016	283
0	1	FILLING PLANT	FG_01	01/12/2016	261
0	1	FILLING PLANT	FG_01	01/13/2016	94
0	1	FILLING PLANT	FG_01	01/15/2016	96
0	1	FILLING PLANT	FG_01	01/16/2016	96
0	1	FILLING PLANT	FG_01	01/17/2016	94
0	1	FILLING PLANT	FG_01	01/18/2016	94
0	1	FILLING PLANT	FG_01	01/19/2016	196
0	1	FILLING PLANT	FG_01	01/20/2016	96
0	1	FILLING PLANT	FG_01	01/21/2016	286
0	1	FILLING PLANT	FG_01	01/23/2016	96
0	1	FILLING PLANT	FG_01	01/25/2016	186
0	1	FILLING PLANT	FG_01	01/26/2016	92
0	1	FILLING PLANT	FG_01	01/28/2016	89
0	1	FILLING PLANT	FG_01	01/31/2016	99
0	1	FILLING PLANT	FG_02	01/01/2016	416
0	1	FILLING PLANT	FG_02	01/03/2016	131
0	1	FILLING PLANT	FG_02	01/04/2016	247
0	1	FILLING PLANT	FG_02	01/06/2016	155
0	1	FILLING PLANT	FG_02	01/07/2016	57
0	1	FILLING PLANT	FG_02	01/08/2016	93
0	1	FILLING PLANT	FG_02	01/09/2016	207
0	1	FILLING PLANT	FG_02	01/10/2016	71
0	1	FILLING PLANT	FG_02	01/11/2016	42
0	1	FILLING PLANT	FG_02	01/12/2016	238
0	1	FILLING PLANT	FG_02	01/13/2016	182
0	1	FILLING PLANT	FG_02	01/15/2016	73
0	1	FILLING PLANT	FG_02	01/16/2016	362
0	1	FILLING PLANT	FG_02	01/17/2016	4
0	1	FILLING PLANT	FG_02	01/18/2016	183
0	1	FILLING PLANT	FG_02	01/19/2016	261
0	1	FILLING PLANT	FG_02	01/21/2016	215
0	1	FILLING PLANT	FG_02	01/22/2016	77
0	1	FILLING PLANT	FG_02	01/23/2016	77
0	1	FILLING PLANT	FG_02	01/24/2016	224
0	1	FILLING PLANT	FG_02	01/25/2016	73
0	1	FILLING PLANT	FG_02	01/26/2016	41
0	1	FILLING PLANT	FG_02	01/27/2016	153
0	1	FILLING PLANT	FG_02	01/28/2016	122
0	1	FILLING PLANT	FG_02	01/30/2016	6
0	1	FILLING PLANT	FG_02	01/31/2016	406
0	1	FILLING PLANT	PACK_01	01/01/2016	382
0	1	FILLING PLANT	PACK_01	01/03/2016	283
0	1	FILLING PLANT	PACK_01	01/04/2016	374
0	1	FILLING PLANT	PACK_01	01/06/2016	193
0	1	FILLING PLANT	PACK_01	01/07/2016	176
0	1	FILLING PLANT	PACK_01	01/08/2016	98
0	1	FILLING PLANT	PACK_01	01/09/2016	283
0	1	FILLING PLANT	PACK_01	01/12/2016	261
0	1	FILLING PLANT	PACK_01	01/13/2016	94
0	1	FILLING PLANT	PACK_01	01/15/2016	96
0	1	FILLING PLANT	PACK_01	01/16/2016	96
0	1	FILLING PLANT	PACK_01	01/17/2016	94
0	1	FILLING PLANT	PACK_01	01/18/2016	94
0	1	FILLING PLANT	PACK_01	01/19/2016	196
0	1	FILLING PLANT	PACK_01	01/20/2016	96
0	1	FILLING PLANT	PACK_01	01/21/2016	286
0	1	FILLING PLANT	PACK_01	01/23/2016	96
0	1	FILLING PLANT	PACK_01	01/25/2016	186
0	1	FILLING PLANT	PACK_01	01/26/2016	92
0	1	FILLING PLANT	PACK_01	01/28/2016	89
0	1	FILLING PLANT	PACK_01	01/31/2016	99
0	1	FILLING PLANT	BULK_01	01/01/2016	798
0	1	FILLING PLANT	BULK_01	01/03/2016	414
0	1	FILLING PLANT	BULK_01	01/04/2016	621
0	1	FILLING PLANT	BULK_01	01/06/2016	348
0	1	FILLING PLANT	BULK_01	01/07/2016	233
0	1	FILLING PLANT	BULK_01	01/08/2016	191
0	1	FILLING PLANT	BULK_01	01/09/2016	490
0	1	FILLING PLANT	BULK_01	01/10/2016	71
0	1	FILLING PLANT	BULK_01	01/11/2016	42
0	1	FILLING PLANT	BULK_01	01/12/2016	499
0	1	FILLING PLANT	BULK_01	01/13/2016	276
0	1	FILLING PLANT	BULK_01	01/15/2016	169
0	1	FILLING PLANT	BULK_01	01/16/2016	458
0	1	FILLING PLANT	BULK_01	01/17/2016	98
0	1	FILLING PLANT	BULK_01	01/18/2016	277
0	1	FILLING PLANT	BULK_01	01/19/2016	457
0	1	FILLING PLANT	BULK_01	01/20/2016	96
0	1	FILLING PLANT	BULK_01	01/21/2016	501
0	1	FILLING PLANT	BULK_01	01/22/2016	77
0	1	FILLING PLANT	BULK_01	01/23/2016	173
0	1	FILLING PLANT	BULK_01	01/24/2016	224
0	1	FILLING PLANT	BULK_01	01/25/2016	259
0	1	FILLING PLANT	BULK_01	01/26/2016	133
0	1	FILLING PLANT	BULK_01	01/27/2016	153
0	1	FILLING PLANT	BULK_01	01/28/2016	211
0	1	FILLING PLANT	BULK_01	01/30/2016	6
0	1	FILLING PLANT	BULK_01	01/31/2016	505
0	1	FILLING PLANT	PACK_02	01/01/2016	416
0	1	FILLING PLANT	PACK_02	01/03/2016	131
0	1	FILLING PLANT	PACK_02	01/04/2016	247
0	1	FILLING PLANT	PACK_02	01/06/2016	155
0	1	FILLING PLANT	PACK_02	01/07/2016	57
0	1	FILLING PLANT	PACK_02	01/08/2016	93
0	1	FILLING PLANT	PACK_02	01/09/2016	207
0	1	FILLING PLANT	PACK_02	01/10/2016	71
0	1	FILLING PLANT	PACK_02	01/11/2016	42
0	1	FILLING PLANT	PACK_02	01/12/2016	238
0	1	FILLING PLANT	PACK_02	01/13/2016	182
0	1	FILLING PLANT	PACK_02	01/15/2016	73
0	1	FILLING PLANT	PACK_02	01/16/2016	362
0	1	FILLING PLANT	PACK_02	01/17/2016	4
0	1	FILLING PLANT	PACK_02	01/18/2016	183
0	1	FILLING PLANT	PACK_02	01/19/2016	261
0	1	FILLING PLANT	PACK_02	01/21/2016	215
0	1	FILLING PLANT	PACK_02	01/22/2016	77
0	1	FILLING PLANT	PACK_02	01/23/2016	77
0	1	FILLING PLANT	PACK_02	01/24/2016	224
0	1	FILLING PLANT	PACK_02	01/25/2016	73
0	1	FILLING PLANT	PACK_02	01/26/2016	41
0	1	FILLING PLANT	PACK_02	01/27/2016	153
0	1	FILLING PLANT	PACK_02	01/28/2016	122
0	1	FILLING PLANT	PACK_02	01/30/2016	6
0	1	FILLING PLANT	PACK_02	01/31/2016	406
0	1	PACK SUPPLIER	PACK_01	01/01/2016	382
0	1	PACK SUPPLIER	PACK_01	01/03/2016	283
0	1	PACK SUPPLIER	PACK_01	01/04/2016	374
